transactionID,customerID,franchiseID,dateTime,product,quantity,unitPrice,totalPrice,paymentMethod,cardNumber
2000025,1000023,3000040,2024-07-25 19:30:01.703399,Orchard Oasis,3,3,9,amex,374288633719322
2000026,1000052,3000012,2024-07-19 21:08:23.479609,Outback Oatmeal,7,3,21,mastercard,2720728882933022
2000027,1000079,3000046,2024-07-24 03:43:34.976674,Austin Almond Biscotti,1,3,3,visa,4683274773504375
2000028,1000108,3000002,2024-07-01 16:16:05.408402,Orchard Oasis,10,3,30,mastercard,2355860784795803
2000029,1000173,3000028,2024-07-08 00:40:20.870612,Austin Almond Biscotti,7,3,21,mastercard,2239654920381350
2000030,1000177,3000042,2024-07-22 16:23:54.045254,Orchard Oasis,1,3,3,mastercard,2567358828417298
2000031,1000220,3000019,2024-07-13 19:28:54.022688,Austin Almond Biscotti,10,3,30,amex,341624056094761
2000032,1000010,3000034,2024-07-02 21:50:26.282572,Golden Gate Ginger,5,3,15,amex,349587420371862
2000033,1000112,3000030,2024-07-02 00:03:52.956426,Pearly Pies,9,3,27,amex,376911709497725
2000034,1000184,3000029,2024-07-12 16:16:14.354125,Golden Gate Ginger,6,3,18,visa,4959180958665328
2000035,1000295,3000012,2024-07-03 05:50:14.722162,Pearly Pies,2,3,6,visa,4912390951683899
2000036,1000165,3000026,2024-07-26 22:37:59.100799,Outback Oatmeal,5,3,15,amex,345695228486669
2000037,1000163,3000037,2024-07-20 15:12:17.430162,Outback Oatmeal,10,3,30,mastercard,5217070776697972
2000038,1000035,3000022,2024-07-05 10:27:34.740901,Golden Gate Ginger,3,3,9,amex,348998045469885
2000039,1000044,3000031,2024-07-24 07:41:51.600629,Austin Almond Biscotti,7,3,21,amex,370942094822884
2000040,1000148,3000005,2024-07-04 12:34:06.751301,Tokyo Tidbits,6,3,18,visa,4474033387000474
2000041,1000060,3000019,2024-07-22 23:34:37.035715,Golden Gate Ginger,7,3,21,amex,378051186744261
2000042,1000011,3000016,2024-07-05 07:58:41.591792,Pearly Pies,7,3,21,mastercard,5534366701371980
2000043,1000223,3000004,2024-07-18 10:47:07.524302,Golden Gate Ginger,6,3,18,amex,342694437611723
2000044,1000020,3000033,2024-07-26 21:33:45.680208,Pearly Pies,2,3,6,amex,346655778620017
2000045,1000019,3000032,2024-07-05 04:55:59.509005,Golden Gate Ginger,6,3,18,visa,4279548644583928
2000046,1000076,3000016,2024-07-01 09:51:43.164940,Pearly Pies,6,3,18,visa,4607681179063280
2000047,1000198,3000013,2024-07-20 11:24:55.452784,Golden Gate Ginger,2,3,6,mastercard,5533236635457612
2000048,1000031,3000010,2024-07-15 05:43:19.244390,Pearly Pies,6,3,18,mastercard,2254155214868441
2000049,1000221,3000000,2024-07-15 05:00:18.823997,Pearly Pies,10,3,30,visa,4489845362827347
2000050,1000031,3000036,2024-07-16 19:20:33.161949,Tokyo Tidbits,7,3,21,amex,342085122445107
2000051,1000271,3000042,2024-07-07 04:20:36.823953,Orchard Oasis,8,3,24,amex,349658933502234
2000052,1000077,3000024,2024-07-14 15:02:40.167954,Austin Almond Biscotti,9,3,27,mastercard,5350391094157748
2000053,1000213,3000015,2024-07-19 20:30:47.901860,Pearly Pies,1,3,3,visa,4909796508729685
2000054,1000240,3000045,2024-07-10 09:13:07.229184,Outback Oatmeal,6,3,18,visa,4799447888594579
2000055,1000051,3000002,2024-07-22 19:51:34.485014,Golden Gate Ginger,8,3,24,mastercard,2257631145729727
2000056,1000197,3000033,2024-07-30 23:35:36.118857,Orchard Oasis,1,3,3,visa,4559329515708048
2000057,1000244,3000028,2024-07-26 08:27:54.025948,Austin Almond Biscotti,5,3,15,visa,4316433237217165
2000058,1000291,3000013,2024-07-04 05:18:20.007003,Orchard Oasis,2,3,6,mastercard,2533113566591155
2000059,1000022,3000020,2024-07-21 07:58:35.546305,Golden Gate Ginger,8,3,24,visa,4744907909497652
2000060,1000162,3000008,2024-07-24 21:41:57.861879,Orchard Oasis,4,3,12,mastercard,2298589872601389
2000061,1000036,3000036,2024-07-25 05:57:01.770575,Austin Almond Biscotti,5,3,15,amex,372322548284395
2000062,1000001,3000023,2024-07-25 15:09:34.054975,Pearly Pies,7,3,21,visa,4811474662527843
2000063,1000218,3000021,2024-07-01 19:32:14.409896,Austin Almond Biscotti,2,3,6,mastercard,2225492926337076
2000064,1000031,3000037,2024-07-26 12:02:51.923587,Outback Oatmeal,4,3,12,mastercard,2286268903349789
2000065,1000053,3000001,2024-07-29 11:06:19.170098,Tokyo Tidbits,4,3,12,amex,372866086470782
2000066,1000058,3000006,2024-07-06 00:53:27.110584,Outback Oatmeal,1,3,3,mastercard,2223743165348493
2000067,1000215,3000037,2024-07-18 20:48:40.265371,Tokyo Tidbits,6,3,18,mastercard,5563538304035238
2000068,1000067,3000013,2024-07-05 15:46:27.277544,Pearly Pies,1,3,3,mastercard,5244943580366074
2000069,1000127,3000041,2024-07-16 01:19:18.187742,Outback Oatmeal,2,3,6,amex,376130543988175
2000070,1000153,3000044,2024-07-17 19:11:09.934703,Austin Almond Biscotti,7,3,21,amex,374835049432484
2000071,1000059,3000008,2024-07-20 00:04:06.808654,Austin Almond Biscotti,7,3,21,mastercard,2246669222305999
2000072,1000106,3000007,2024-07-27 18:40:09.544689,Golden Gate Ginger,7,3,21,amex,379073558108726
2000073,1000147,3000029,2024-07-28 22:38:19.893405,Tokyo Tidbits,5,3,15,visa,4654341070574289
2000074,1000299,3000017,2024-07-26 15:17:37.745447,Austin Almond Biscotti,2,3,6,amex,373166644270652
2000075,1000294,3000035,2024-07-24 07:27:35.071133,Orchard Oasis,2,3,6,mastercard,2292680362182588
2000076,1000183,3000016,2024-07-09 18:46:28.859143,Tokyo Tidbits,10,3,30,amex,373881812840058
2000077,1000296,3000019,2024-07-29 03:02:41.630782,Austin Almond Biscotti,3,3,9,visa,4488709674158281
2000078,1000229,3000046,2024-07-02 13:14:27.143966,Pearly Pies,7,3,21,mastercard,2650056093013572
2000079,1000205,3000031,2024-07-30 03:13:48.050143,Pearly Pies,1,3,3,visa,4106655089353904
2000080,1000032,3000002,2024-07-17 18:01:25.633814,Pearly Pies,4,3,12,mastercard,5248536198528998
2000081,1000057,3000040,2024-07-19 06:14:51.572921,Pearly Pies,8,3,24,amex,374558839346033
2000082,1000261,3000018,2024-07-30 23:55:44.149975,Tokyo Tidbits,4,3,12,amex,345865494456874
2000083,1000192,3000041,2024-07-02 22:00:36.447898,Tokyo Tidbits,2,3,6,amex,347149790340464
2000084,1000035,3000002,2024-07-06 15:39:33.761759,Orchard Oasis,6,3,18,mastercard,2380206467912332
2000085,1000039,3000033,2024-07-04 20:29:49.261016,Pearly Pies,10,3,30,visa,4302542889530158
2000086,1000099,3000028,2024-07-21 17:54:26.524595,Austin Almond Biscotti,4,3,12,mastercard,2286166121956783
2000087,1000278,3000034,2024-07-12 17:55:21.184530,Pearly Pies,2,3,6,mastercard,2708057698391241
2000088,1000253,3000016,2024-07-10 02:08:53.746217,Austin Almond Biscotti,5,3,15,mastercard,2265325396065754
2000089,1000242,3000036,2024-07-29 11:56:14.325171,Orchard Oasis,3,3,9,visa,4112950424672528
2000090,1000279,3000018,2024-07-23 18:07:38.862647,Orchard Oasis,2,3,6,mastercard,5587707404210007
2000091,1000212,3000045,2024-07-15 04:49:32.349939,Golden Gate Ginger,1,3,3,amex,343044421007448
2000092,1000214,3000016,2024-07-06 01:02:07.466092,Tokyo Tidbits,9,3,27,visa,4995165626699599
2000093,1000224,3000036,2024-07-14 22:09:29.598946,Orchard Oasis,8,3,24,visa,4370283789891724
2000094,1000234,3000004,2024-07-11 02:55:32.294243,Pearly Pies,1,3,3,amex,373147137548861
2000095,1000155,3000032,2024-07-24 15:15:06.025190,Pearly Pies,2,3,6,visa,4330785562535665
2000096,1000165,3000006,2024-07-26 22:53:17.583583,Tokyo Tidbits,3,3,9,visa,4127011882674887
2000097,1000104,3000006,2024-07-25 22:05:03.018038,Outback Oatmeal,10,3,30,visa,4232130215552818
2000098,1000229,3000032,2024-07-24 06:16:22.433769,Pearly Pies,3,3,9,mastercard,2286261543096720
2000099,1000203,3000004,2024-07-12 02:11:23.022178,Austin Almond Biscotti,3,3,9,amex,346529288709836
2000100,1000242,3000005,2024-07-28 15:57:56.667135,Tokyo Tidbits,6,3,18,visa,4227306104512587
2000101,1000244,3000047,2024-07-28 11:48:48.491352,Orchard Oasis,8,3,24,amex,349028242521509
2000102,1000288,3000021,2024-07-09 19:43:57.113905,Golden Gate Ginger,10,3,30,visa,4588775023231151
2000103,1000285,3000014,2024-07-16 21:08:46.299101,Tokyo Tidbits,3,3,9,visa,4025379265082082
2000104,1000021,3000044,2024-07-12 17:50:57.934861,Orchard Oasis,1,3,3,visa,4557624534823238
2000105,1000033,3000035,2024-07-24 00:14:57.276727,Austin Almond Biscotti,2,3,6,amex,344241572238744
2000106,1000191,3000003,2024-07-16 08:49:25.017496,Tokyo Tidbits,5,3,15,visa,4405859907746582
2000107,1000121,3000001,2024-07-06 04:42:36.111412,Outback Oatmeal,4,3,12,mastercard,5544418524086499
2000108,1000215,3000025,2024-07-16 16:24:26.941146,Orchard Oasis,8,3,24,visa,4953981514426196
2000109,1000102,3000033,2024-07-24 08:28:28.203421,Orchard Oasis,5,3,15,mastercard,5456674706329919
2000110,1000175,3000038,2024-07-08 10:47:08.554877,Orchard Oasis,9,3,27,mastercard,2256425430993994
2000111,1000019,3000044,2024-07-15 13:33:23.155254,Orchard Oasis,3,3,9,amex,346848183874119
2000112,1000192,3000033,2024-07-23 09:43:17.246866,Outback Oatmeal,9,3,27,amex,373945233266563
2000113,1000045,3000024,2024-07-29 17:26:36.555356,Pearly Pies,6,3,18,mastercard,2706743133765238
2000114,1000147,3000037,2024-07-23 12:03:00.102337,Austin Almond Biscotti,2,3,6,visa,4857298652011988
2000115,1000214,3000046,2024-07-02 22:16:30.151612,Orchard Oasis,8,3,24,visa,4815277622814516
2000116,1000184,3000025,2024-07-04 10:46:56.806064,Outback Oatmeal,9,3,27,mastercard,2290067820457582
2000117,1000217,3000002,2024-07-13 18:35:28.979544,Pearly Pies,7,3,21,mastercard,2233687437492019
2000118,1000104,3000006,2024-07-08 05:40:54.558526,Pearly Pies,3,3,9,visa,4831946348853624
2000119,1000136,3000012,2024-07-23 10:04:30.191493,Tokyo Tidbits,8,3,24,amex,376422794921926
2000120,1000267,3000032,2024-07-14 10:31:05.218656,Outback Oatmeal,5,3,15,mastercard,2235389832136014
2000121,1000027,3000002,2024-07-19 18:57:03.782285,Austin Almond Biscotti,6,3,18,visa,4757380276244194
2000122,1000199,3000032,2024-07-19 07:41:37.398138,Outback Oatmeal,1,3,3,amex,342674584580897
2000123,1000119,3000040,2024-07-17 16:20:25.578010,Outback Oatmeal,5,3,15,mastercard,2252970621721054
2000124,1000206,3000042,2024-07-29 06:15:23.458197,Pearly Pies,4,3,12,mastercard,5287015866021612
2000125,1000036,3000039,2024-07-03 12:08:10.526903,Tokyo Tidbits,3,3,9,visa,4494402457761784
2000126,1000152,3000031,2024-07-22 04:45:59.540698,Tokyo Tidbits,2,3,6,amex,343007320412936
2000127,1000182,3000011,2024-07-03 07:51:10.230291,Outback Oatmeal,10,3,30,mastercard,2701734926908916
2000128,1000087,3000011,2024-07-22 17:25:47.852839,Pearly Pies,2,3,6,mastercard,2290917030081616
2000129,1000223,3000032,2024-07-27 09:15:03.402778,Pearly Pies,2,3,6,visa,4002804724716761
2000130,1000005,3000047,2024-07-12 19:20:56.024803,Outback Oatmeal,7,3,21,amex,345549084375161
2000131,1000100,3000044,2024-07-15 04:33:59.128224,Austin Almond Biscotti,10,3,30,mastercard,5169675534294272
2000132,1000131,3000040,2024-07-08 09:54:51.144557,Austin Almond Biscotti,5,3,15,visa,4928320965974291
2000133,1000228,3000004,2024-07-15 20:53:05.399066,Austin Almond Biscotti,5,3,15,amex,370762347183490
2000134,1000157,3000028,2024-07-07 03:04:00.679760,Golden Gate Ginger,7,3,21,visa,4800113912672339
2000135,1000008,3000044,2024-07-04 23:29:53.386575,Outback Oatmeal,1,3,3,amex,342950977971244
2000136,1000116,3000034,2024-07-13 00:20:04.114220,Orchard Oasis,10,3,30,mastercard,5412582658515273
2000137,1000109,3000017,2024-07-10 02:02:19.287853,Outback Oatmeal,5,3,15,amex,341555944235275
2000138,1000208,3000047,2024-07-03 03:22:36.316346,Tokyo Tidbits,8,3,24,mastercard,2296503736370661
2000139,1000063,3000039,2024-07-21 19:06:22.919987,Tokyo Tidbits,5,3,15,mastercard,2268176079761467
2000140,1000001,3000007,2024-07-15 13:39:44.906747,Outback Oatmeal,2,3,6,visa,4209275371384560
2000141,1000094,3000003,2024-07-30 02:01:26.564307,Golden Gate Ginger,8,3,24,visa,4007257923161088
2000142,1000262,3000002,2024-07-19 07:33:32.267413,Austin Almond Biscotti,7,3,21,amex,346937588103982
2000143,1000218,3000017,2024-07-04 03:25:33.491003,Golden Gate Ginger,8,3,24,amex,347244432303119
2000144,1000195,3000047,2024-07-17 10:42:16.823511,Tokyo Tidbits,1,3,3,visa,4014327060036541
2000145,1000035,3000015,2024-07-13 08:31:06.235021,Pearly Pies,10,3,30,mastercard,2714642301544583
2000146,1000253,3000039,2024-07-26 07:28:48.216365,Golden Gate Ginger,7,3,21,amex,373110205019520
2000147,1000241,3000022,2024-07-27 05:47:57.641650,Orchard Oasis,7,3,21,visa,4436096600473700
2000148,1000191,3000047,2024-07-25 03:14:47.523268,Outback Oatmeal,6,3,18,mastercard,2629410284547203
2000149,1000038,3000012,2024-07-28 19:12:52.831326,Pearly Pies,10,3,30,mastercard,2259630579166859
2000150,1000254,3000003,2024-07-23 10:42:51.817804,Pearly Pies,6,3,18,visa,4455528307482259
2000151,1000246,3000032,2024-07-18 15:55:22.382003,Golden Gate Ginger,4,3,12,amex,345268370173129
2000152,1000269,3000002,2024-07-30 16:39:23.392215,Austin Almond Biscotti,3,3,9,amex,373642964166449
2000153,1000016,3000003,2024-07-10 19:17:18.739530,Outback Oatmeal,3,3,9,visa,4100489321115616
2000154,1000297,3000032,2024-07-23 11:11:21.401102,Austin Almond Biscotti,9,3,27,amex,372806141742213
2000155,1000136,3000029,2024-07-11 22:15:05.639295,Tokyo Tidbits,3,3,9,mastercard,2260948250710077
2000156,1000268,3000034,2024-07-08 10:05:00.890494,Austin Almond Biscotti,7,3,21,amex,344765527949310
2000157,1000090,3000025,2024-07-10 02:45:11.159991,Golden Gate Ginger,2,3,6,mastercard,2230555786462433
2000158,1000187,3000021,2024-07-22 11:09:59.416940,Outback Oatmeal,5,3,15,mastercard,2678476298151753
2000159,1000009,3000029,2024-07-26 20:57:43.912383,Golden Gate Ginger,6,3,18,amex,375353488986472
2000160,1000186,3000046,2024-07-20 23:37:24.640043,Pearly Pies,1,3,3,amex,378926721908150
2000161,1000268,3000038,2024-07-16 17:15:25.217996,Orchard Oasis,7,3,21,mastercard,5225566813333901
2000162,1000059,3000017,2024-07-08 17:16:12.204906,Tokyo Tidbits,8,3,24,amex,373887926145326
2000163,1000298,3000003,2024-07-17 00:47:27.417741,Outback Oatmeal,9,3,27,visa,4416139896726375
2000164,1000040,3000028,2024-07-30 03:10:54.899404,Orchard Oasis,8,3,24,amex,378604952774878
2000165,1000254,3000023,2024-07-21 02:05:54.854268,Tokyo Tidbits,9,3,27,amex,341508131778219
2000166,1000188,3000026,2024-07-28 15:16:29.942779,Tokyo Tidbits,2,3,6,amex,342918932319908
2000167,1000020,3000002,2024-07-09 01:30:05.541990,Outback Oatmeal,10,3,30,visa,4990959517999042
2000168,1000034,3000003,2024-07-13 02:10:14.439016,Golden Gate Ginger,5,3,15,amex,342396201586558
2000169,1000076,3000022,2024-07-25 23:32:44.437259,Orchard Oasis,6,3,18,amex,348038529763766
2000170,1000297,3000043,2024-07-18 19:12:33.403281,Golden Gate Ginger,7,3,21,amex,342199167045316
2000171,1000013,3000016,2024-07-27 15:07:28.533717,Austin Almond Biscotti,1,3,3,mastercard,2683497915635310
2000172,1000299,3000012,2024-07-04 13:57:54.627318,Pearly Pies,9,3,27,mastercard,2536834671819564
2000173,1000046,3000047,2024-07-27 14:06:40.385418,Outback Oatmeal,1,3,3,amex,342116047309977
2000174,1000109,3000008,2024-07-16 20:09:37.366474,Pearly Pies,9,3,27,mastercard,5264587247675628
2000175,1000001,3000002,2024-07-23 16:10:58.429316,Pearly Pies,1,3,3,amex,371629160947609
2000176,1000271,3000045,2024-07-29 11:38:09.966306,Golden Gate Ginger,10,3,30,visa,4986886446361117
2000177,1000088,3000044,2024-07-13 18:10:54.821332,Tokyo Tidbits,10,3,30,mastercard,5578567642723562
2000178,1000298,3000007,2024-07-29 19:50:06.617715,Austin Almond Biscotti,9,3,27,mastercard,2720103667837394
2000179,1000126,3000041,2024-07-03 22:58:36.076466,Golden Gate Ginger,10,3,30,visa,4105492354124435
2000180,1000241,3000011,2024-07-11 03:33:55.793007,Austin Almond Biscotti,8,3,24,mastercard,2685785119271710
2000181,1000151,3000022,2024-07-15 03:27:32.567544,Tokyo Tidbits,6,3,18,mastercard,2720395217682284
2000182,1000213,3000034,2024-07-20 06:35:47.834636,Outback Oatmeal,10,3,30,visa,4025533285041847
2000183,1000252,3000003,2024-07-03 15:51:39.600106,Golden Gate Ginger,5,3,15,mastercard,2250908304280784
2000184,1000037,3000031,2024-07-07 00:45:50.788031,Tokyo Tidbits,7,3,21,mastercard,2528949921267024
2000185,1000062,3000030,2024-07-12 10:08:10.854196,Golden Gate Ginger,9,3,27,amex,374160257629642
2000186,1000121,3000030,2024-07-03 23:52:09.894805,Austin Almond Biscotti,2,3,6,amex,340517452003264
2000187,1000022,3000040,2024-07-25 19:10:12.013256,Austin Almond Biscotti,1,3,3,amex,375372276130242
2000188,1000078,3000045,2024-07-19 18:59:21.719205,Outback Oatmeal,8,3,24,visa,4536004721658844
2000189,1000274,3000034,2024-07-13 15:50:32.680988,Austin Almond Biscotti,8,3,24,amex,370360258634831
2000190,1000173,3000046,2024-07-24 16:39:00.756454,Orchard Oasis,5,3,15,amex,348398840632342
2000191,1000255,3000004,2024-07-19 00:19:07.423688,Austin Almond Biscotti,5,3,15,amex,371016278464067
2000192,1000010,3000002,2024-07-15 16:09:35.083349,Orchard Oasis,10,3,30,mastercard,2232677317838549
2000193,1000264,3000019,2024-07-12 20:35:54.835465,Orchard Oasis,9,3,27,visa,4416976271123094
2000194,1000025,3000010,2024-07-17 12:18:36.466322,Orchard Oasis,3,3,9,visa,4041673349979143
2000195,1000107,3000019,2024-07-20 21:45:48.822648,Tokyo Tidbits,5,3,15,amex,347300792413045
2000196,1000061,3000047,2024-07-13 09:51:25.255022,Outback Oatmeal,9,3,27,visa,4759487542432541
2000197,1000270,3000019,2024-07-24 21:03:01.209101,Tokyo Tidbits,10,3,30,mastercard,2252732837245488
2000198,1000051,3000024,2024-07-22 15:16:19.816249,Golden Gate Ginger,2,3,6,visa,4563516734677244
2000199,1000163,3000024,2024-07-18 07:24:20.709180,Outback Oatmeal,4,3,12,amex,344162331808736
2000200,1000038,3000022,2024-07-12 03:15:26.233927,Golden Gate Ginger,5,3,15,visa,4203562117469383
2000201,1000243,3000015,2024-07-21 16:19:41.414295,Pearly Pies,5,3,15,mastercard,2573012577090358
2000202,1000146,3000027,2024-07-27 13:17:53.229021,Outback Oatmeal,6,3,18,mastercard,2279492696593390
2000203,1000212,3000006,2024-07-18 08:29:41.855929,Pearly Pies,6,3,18,amex,342614758507367
2000204,1000078,3000017,2024-07-05 23:06:10.669943,Tokyo Tidbits,10,3,30,amex,370126969358956
2000205,1000167,3000020,2024-07-08 17:02:48.391207,Tokyo Tidbits,5,3,15,amex,343203062802224
2000206,1000141,3000045,2024-07-01 12:14:12.155369,Golden Gate Ginger,2,3,6,visa,4552504522078596
2000207,1000017,3000025,2024-07-05 19:55:23.520634,Golden Gate Ginger,2,3,6,mastercard,5586452498041825
2000208,1000255,3000022,2024-07-30 23:22:46.354501,Pearly Pies,6,3,18,mastercard,5315354755381209
2000209,1000051,3000029,2024-07-05 16:03:01.985039,Golden Gate Ginger,5,3,15,visa,4059465203600777
2000210,1000086,3000020,2024-07-22 22:34:25.834896,Orchard Oasis,5,3,15,mastercard,5444252057299901
2000211,1000076,3000013,2024-07-23 20:46:34.673112,Tokyo Tidbits,7,3,21,visa,4937948580030534
2000212,1000116,3000012,2024-07-08 07:54:35.486251,Pearly Pies,7,3,21,visa,4917132181662474
2000213,1000073,3000035,2024-07-24 16:29:28.058524,Pearly Pies,5,3,15,mastercard,2276285046455978
2000214,1000034,3000042,2024-07-08 21:22:07.757093,Golden Gate Ginger,5,3,15,amex,375298421989093
2000215,1000127,3000018,2024-07-30 11:21:28.265657,Outback Oatmeal,1,3,3,visa,4567415534576761
2000216,1000296,3000001,2024-07-22 20:27:22.981354,Golden Gate Ginger,3,3,9,amex,376982799386052
2000217,1000281,3000009,2024-07-27 23:04:15.473231,Orchard Oasis,2,3,6,visa,4315839042797590
2000218,1000212,3000037,2024-07-28 22:43:42.429172,Orchard Oasis,10,3,30,mastercard,2439607357045375
2000219,1000206,3000002,2024-07-11 19:20:02.687698,Pearly Pies,10,3,30,amex,377303832730181
2000220,1000250,3000018,2024-07-30 14:49:12.341455,Pearly Pies,9,3,27,mastercard,2602372739626605
2000221,1000183,3000032,2024-07-17 22:38:12.479611,Golden Gate Ginger,8,3,24,mastercard,2307228456239451
2000222,1000149,3000020,2024-07-29 20:52:16.833021,Golden Gate Ginger,2,3,6,visa,4920615597940265
2000223,1000256,3000006,2024-07-11 07:43:45.787822,Austin Almond Biscotti,2,3,6,mastercard,5344308349995366
2000224,1000005,3000038,2024-07-18 14:51:11.861066,Austin Almond Biscotti,10,3,30,mastercard,2715516812788922
2000225,1000188,3000030,2024-07-08 16:22:27.913201,Orchard Oasis,9,3,27,amex,344644735804692
2000226,1000137,3000020,2024-07-06 19:51:38.286961,Austin Almond Biscotti,10,3,30,amex,378177213705346
2000227,1000138,3000047,2024-07-23 05:28:15.201456,Pearly Pies,9,3,27,visa,4683208479983640
2000228,1000151,3000033,2024-07-25 10:02:33.814147,Orchard Oasis,3,3,9,amex,345636931772656
2000229,1000082,3000043,2024-07-27 06:29:08.122813,Orchard Oasis,1,3,3,visa,4212684347049709
2000230,1000256,3000040,2024-07-04 14:37:12.231836,Outback Oatmeal,10,3,30,amex,347709786339455
2000231,1000045,3000017,2024-07-20 20:44:26.323065,Outback Oatmeal,5,3,15,visa,4348566341785833
2000232,1000217,3000006,2024-07-09 18:59:53.803896,Orchard Oasis,3,3,9,visa,4337836221014510
2000233,1000025,3000003,2024-07-08 11:08:50.531592,Pearly Pies,8,3,24,visa,4594447734292037
2000234,1000264,3000047,2024-07-12 16:49:36.125990,Austin Almond Biscotti,6,3,18,amex,349127035863555
2000235,1000015,3000044,2024-07-21 21:55:50.238865,Outback Oatmeal,4,3,12,amex,375031620520918
2000236,1000290,3000001,2024-07-18 04:55:40.007952,Orchard Oasis,8,3,24,visa,4214878768476676
2000237,1000031,3000016,2024-07-11 14:16:53.650826,Pearly Pies,7,3,21,visa,4840337060440130
2000238,1000085,3000006,2024-07-20 08:44:59.505630,Outback Oatmeal,3,3,9,mastercard,2711070544733875
2000239,1000134,3000033,2024-07-16 12:44:39.515812,Tokyo Tidbits,6,3,18,mastercard,2717605554741419
2000240,1000233,3000007,2024-07-06 17:56:54.065511,Tokyo Tidbits,3,3,9,amex,370068826609819
2000241,1000187,3000036,2024-07-12 19:33:43.732989,Outback Oatmeal,4,3,12,amex,343598727767567
2000242,1000187,3000022,2024-07-07 18:02:34.478854,Pearly Pies,1,3,3,amex,344489853533446
2000243,1000108,3000044,2024-07-27 09:12:26.698759,Golden Gate Ginger,8,3,24,mastercard,2704288683921890
2000244,1000174,3000046,2024-07-30 23:02:19.858217,Pearly Pies,6,3,18,mastercard,2292787052619207
2000245,1000072,3000025,2024-07-28 06:39:37.708133,Pearly Pies,2,3,6,mastercard,2720514800983558
2000246,1000069,3000000,2024-07-27 03:35:35.386756,Austin Almond Biscotti,1,3,3,amex,372370522862959
2000247,1000072,3000039,2024-07-09 05:23:52.175665,Tokyo Tidbits,1,3,3,mastercard,5424901338918200
2000248,1000217,3000006,2024-07-12 03:01:30.966799,Outback Oatmeal,3,3,9,amex,340964046260358
2000249,1000216,3000046,2024-07-25 21:47:19.620637,Austin Almond Biscotti,7,3,21,mastercard,2714164648279922
2000250,1000147,3000007,2024-07-10 14:55:21.006349,Pearly Pies,9,3,27,amex,373045813721911
2000251,1000268,3000035,2024-07-23 03:17:17.836078,Tokyo Tidbits,10,3,30,mastercard,2241195479575964
2000252,1000053,3000000,2024-07-14 12:41:53.843106,Tokyo Tidbits,8,3,24,amex,347572548715705
2000253,1000028,3000002,2024-07-05 12:26:12.447672,Outback Oatmeal,4,3,12,visa,4796640785446025
2000254,1000110,3000006,2024-07-13 23:52:43.758530,Golden Gate Ginger,8,3,24,mastercard,2449537367557994
